PRDCODEXT,PROMDEFFECDES_df1,PROMDEFFECHAS_df1,Status Hoy_df2,Prov_df2,Cat _df2,Tipo Prov_df2,LOCCOD_df3,MOVFEC_df3,ACPRCANTVEND_df3,ACPRIMPVEN_df3
608381,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,15/5/2021,1.0,629
608400,26/08/2021,13/09/2021,1.0,10145.0,216.0,1.0,5201.0,3/5/2021,1.0,485
660995,26/08/2021,13/09/2021,1.0,11094.0,216.0,1.0,5201.0,4/5/2021,2.0,510
562078,17/05/2021,30/05/2021,5.0,13016.0,216.0,1.0,5201.0,22/5/2021,1.0,449
562218,17/05/2021,30/05/2021,1.0,62707.0,216.0,1.0,5201.0,10/5/2021,1.0,239
562219,17/05/2021,30/05/2021,1.0,62707.0,216.0,1.0,5201.0,9/5/2021,1.0,239
562545,17/05/2021,30/05/2021,1.0,62707.0,216.0,1.0,5201.0,8/5/2021,1.0,239
562644,17/05/2021,30/05/2021,1.0,62707.0,216.0,1.0,5201.0,10/5/2021,1.0,239
562705,26/08/2021,13/09/2021,5.0,22003.0,216.0,1.0,5201.0,19/6/2021,2.0,518
562708,26/08/2021,13/09/2021,5.0,22003.0,216.0,1.0,5201.0,20/6/2021,1.0,395
562709,26/08/2021,13/09/2021,5.0,22003.0,216.0,1.0,5201.0,23/6/2021,1.0,395
562710,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,23/8/2021,0.0,650
562711,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,15/8/2021,1.0,619
562716,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,10/8/2021,1.0,619
562717,26/08/2021,13/09/2021,5.0,22049.0,216.0,1.0,5201.0,15/8/2021,1.0,419
562718,26/08/2021,13/09/2021,1.0,22231.0,216.0,1.0,5201.0,24/8/2021,2.0,1690
562719,26/08/2021,13/09/2021,5.0,25161.0,216.0,1.0,5201.0,23/8/2021,0.0,268
562720,26/08/2021,13/09/2021,1.0,25161.0,216.0,1.0,5201.0,23/8/2021,0.0,115
562721,26/08/2021,13/09/2021,1.0,25161.0,216.0,1.0,5201.0,15/8/2021,2.0,580
562722,26/08/2021,13/09/2021,5.0,25161.0,216.0,1.0,5201.0,20/8/2021,1.0,590
562723,26/08/2021,13/09/2021,1.0,25161.0,216.0,1.0,5201.0,23/8/2021,0.0,459
562724,26/08/2021,13/09/2021,5.0,25161.0,216.0,1.0,5201.0,20/8/2021,1.0,590
562725,26/08/2021,13/09/2021,1.0,28064.0,216.0,1.0,5201.0,23/8/2021,0.0,480
562726,26/08/2021,13/09/2021,1.0,10145.0,216.0,1.0,5201.0,23/8/2021,0.0,665
562727,26/08/2021,13/09/2021,1.0,28064.0,216.0,1.0,5201.0,15/8/2021,1.0,495
562728,26/08/2021,13/09/2021,1.0,31066.0,216.0,1.0,5201.0,23/8/2021,0.0,590
562729,26/08/2021,13/09/2021,1.0,62831.0,216.0,1.0,5201.0,23/8/2021,1.0,2300
